Species,Sample_Id,Total_pattern_rel,Tip_rel,Spots_rel,Spot1_rel,Spot2_rel,Spot3_rel,Spot4_rel,Spot5_rel,Total_pattern_abs,Tip_abs,Spots_abs,Spot1_abs,Spot2_abs,Spot3_abs,Spot4_abs,Spot5_abs
E_astrild,DSC_0170,0.04705085,0.011728814,0.047254237,0.012474576,0.007661017,0.003389831,0.003322034,0.008474576,0.503537445,0.125521575,0.505714089,0.133502713,0.081988081,0.036277912,0.035552354,0.09069478
E_astrild,DSC_0198,0.09084746,0.059389831,0.086508475,0.010983051,0.004474576,0.00440678,0.005830509,0.005220339,0.972248065,0.635589017,0.925812317,0.117540436,0.047886841,0.047161286,0.062398009,0.055867985
E_astrild,DSC_0248,0.05837288,0.023457627,0.057423729,0.008338983,0.010033898,0.004677966,0.002983051,0.008542373,0.624705629,0.25104315,0.61454783,0.089243663,0.107382616,0.050063518,0.031924562,0.091420338
E_astrild,DSC_0266,0.04705085,0.009898305,0.047118644,0.015864407,0.006576271,0.00379661,0.00420339,0.006711864,0.503537445,0.105931503,0.504262975,0.16978063,0.070379147,0.040631262,0.04498461,0.071830266
E_astrild,DSC_0767,0.05491525,0.013762712,0.054915254,0.013423729,0.006237288,0.007186441,0.008067797,0.006237288,0.587702128,0.147288322,0.58770217,0.143660533,0.066751356,0.076909173,0.08634143,0.066751358
E_astrild,DSC_5282,0.05254237,0.021898305,0.051661017,0.007254237,0.008135593,0.002779661,0.004067797,0.00820339,0.562307604,0.234355311,0.552875378,0.077634728,0.087066986,0.029747888,0.043533494,0.087792546
E_astrild,DSC_5668,0.03613559,0.004949153,0.035254237,0.010305085,0.005559322,0.003864407,0.004949153,0.006440678,0.386722507,0.052965751,0.377290281,0.110284855,0.059495775,0.04135682,0.052965751,0.068928033
E_astrild,DSC_5804,0.04325424,0.020135593,0.043050847,0.012,0.005355932,0.000745763,0,0.004881356,0.462906185,0.215490797,0.460729476,0.128423808,0.057319099,0.00798114,0,0.052240193
E_astrild,DSC_5851,0.07816949,0.045898305,0.075661017,0.01220339,0.004338983,0.007389831,0.004813559,0.005627119,0.836568632,0.491202927,0.809722994,0.130600485,0.046435727,0.079085848,0.051514635,0.060221333
E_astrild,DSC_6303,0.0519322,0.032135593,0.051254237,0.009762712,0.004949153,0,0,0.005084746,0.555777574,0.343914605,0.548522025,0.104480388,0.052965756,0,0,0.054416868
